,vip,title,year,kms,city,province,transmission,price,age,age_sq,year_norm,year_norm_sq,kms_norm,kms_norm_sq,10th Quantile,50th Quantile,90th Quantile,cheap,expensive
122,29205729,2022 Mitsubishi RVR SE,2022.0,25800.0,Okotoks,AB,Automatic,30990.0,1.0,1.0,0.11,0.0121,25.8,665.64,26743.899640973203,30648.249991422854,35581.97476226023,False,False
123,29167987,2020 Mitsubishi RVR SE AWC / Heated seats / Back up cam,2020.0,57614.0,Calgary,AB,Automatic,29888.0,3.0,9.0,0.09,0.0081,57.614,3319.3729959999996,22617.484120439094,26499.79320241121,30093.199803166623,False,False
124,29203185,"2022 Mitsubishi RVR SE AWD, Heated Seats, Backup Cam",2022.0,25563.0,Calgary,AB,Automatic,38996.0,1.0,1.0,0.11,0.0121,25.563,653.466969,26737.866990426213,30653.2320299568,35590.52960447975,False,True
125,27597495,2021 Mitsubishi RVR SE *$86/WK,2021.0,53986.0,Dartmouth,NS,Automatic,24900.0,2.0,4.0,0.1,0.010000000000000002,53.986,2914.488196,24862.158098480544,28282.68201881319,32346.305842506692,False,False
126,29203349,2017 Mitsubishi RVR GT,2017.0,170876.0,Montréal,QC,Automatic,14995.0,6.0,36.0,0.06,0.0036,170.876,29198.607376,14452.076231063555,17475.11475932155,20202.00986976398,False,False
127,28958753,"2023 Mitsubishi RVR SE - Air Climatisé, Camera, Sièges Chauffant",2023.0,2500.0,Laval,QC,Automatic,28996.0,0.0,0.0,0.12,0.0144,2.5,6.25,28541.56126025684,32816.27710600804,38736.29051604325,False,False
128,28958658,"2023 Mitsubishi RVR SE - Caméra de Recul, Sièges Chauffants",2023.0,2500.0,Laval,QC,Automatic,28696.0,0.0,0.0,0.12,0.0144,2.5,6.25,28541.56126025684,32816.27710600804,38736.29051604325,False,False
129,29030808,2015 Mitsubishi RVR SE,2015.0,163739.0,Falmouth,NS,Manual,11995.0,8.0,64.0,0.04,0.0016,163.739,26810.460121,11273.738667366062,14576.082608059824,17078.718581675632,False,False
130,28994842,2015 Mitsubishi RVR AWD GT,2015.0,82000.0,Laval,QC,Automatic,14995.0,8.0,64.0,0.04,0.0016,82.0,6724.0,13085.345725520318,17628.100579494385,20038.2501832328,False,False
131,29469655,2012 Mitsubishi RVR GT,2012.0,125000.0,Campbellford,ON,Automatic,9000.0,11.0,121.0,0.01,0.0001,125.0,15625.0,8198.422840808089,11465.721633337831,14127.52104853521,False,False
132,29134318,2019 Mitsubishi RVR SE AWC/S.CHAUFFANT/CAMERA/APPLE CARPLAY,2019.0,88446.0,Saint-Eustache,QC,Automatic,22995.0,4.0,16.0,0.08,0.0064,88.446,7822.6949159999995,20522.998107786625,23935.819629562917,26952.36543059061,False,False
